person_id,transaction_date,name,age,sex,education,has_children,has_property,has_car,ever_loan,loan_paid,annual_salary,invested_amount,personal_loan,mortgage,auto_loan,credit_card,overdraft,payroll_loan,student_loan,working_capital_loan
15796,2021-10-01,Jules Fernandez,56,Female,Postgraduate,Yes,No,Yes,Yes,Yes,>120k,<1k,1,1,1,1,0,1,0,0
861,2022-02-10,Isabella Martin,53,Female,Primary,No,No,No,No,No,<30k,10k-50k,0,0,0,1,0,1,0,0
38159,2021-04-06,Luca Conti,26,Male,Secondary,Yes,No,No,No,No,30k-50k,1k-10k,0,0,1,0,0,0,0,0
11285,2020-07-25,Matteo Müller,26,Female,Bachelor,No,No,Yes,No,No,50k-80k,1k-10k,0,1,1,0,0,0,1,0
6266,2021-07-22,Emily Moreau,37,Female,Postgraduate,No,Yes,Yes,No,No,80k-120k,1k-10k,1,1,1,1,0,0,0,1
16851,2022-11-24,Hugo Moreau,51,Male,Primary,No,No,Yes,No,No,30k-50k,<1k,0,0,0,0,0,0,0,0
37195,2020-12-19,George Ricci,31,Male,Primary,Yes,Yes,Yes,Yes,Yes,<30k,<1k,0,0,0,1,0,0,0,0
21963,2023-03-11,Oliver Moreau,38,Female,Bachelor,No,No,Yes,No,No,50k-80k,10k-50k,0,0,0,0,0,0,1,0
16024,2021-08-11,Clara Lopez,25,Male,Postgraduate,Yes,Yes,Yes,No,No,80k-120k,10k-50k,1,1,1,1,0,0,0,1
1686,2022-07-08,Louis Johnson,46,Male,Bachelor,Yes,Yes,Yes,No,No,50k-80k,1k-10k,1,1,0,0,0,0,0,1
770,2022-11-12,Luca Santos,71,Female,Primary,Yes,Yes,Yes,Yes,Yes,<30k,<1k,1,1,0,1,0,1,0,0
2434,2021-01-12,Olivia Ricci,71,Male,Primary,Yes,No,No,No,No,30k-50k,<1k,1,1,0,0,0,0,1,0
5312,2023-02-12,Clara Lefevre,43,Female,Bachelor,Yes,Yes,Yes,No,No,50k-80k,<1k,0,1,1,1,0,0,0,0
37820,2023-01-27,Andrea Garcia,55,Female,Bachelor,Yes,No,No,No,No,80k-120k,<1k,1,1,1,0,0,0,0,1
39189,2021-06-22,Mia Meyer,25,Female,Primary,Yes,No,No,No,No,30k-50k,<1k,0,0,1,0,1,0,0,0
17569,2023-01-26,Eva Brown,52,Female,Bachelor,No,Yes,Yes,No,No,50k-80k,<1k,1,1,1,1,1,0,0,0
19770,2021-04-13,Arthur White,67,Male,Postgraduate,No,Yes,No,No,No,80k-120k,<1k,1,1,1,0,0,0,1,0
28694,2021-11-03,Luca Walker,62,Male,Secondary,Yes,Yes,Yes,Yes,Yes,30k-50k,<1k,1,1,0,0,0,0,0,0
6397,2022-09-14,Jules Bianchi,31,Male,Primary,No,No,Yes,No,No,30k-50k,1k-10k,1,1,0,0,0,0,0,0
27481,2020-03-31,Harry Lefevre,69,Male,Bachelor,No,No,No,No,No,50k-80k,<1k,0,0,1,1,0,0,0,0
25659,2022-08-11,Amelia Walker,49,Female,Postgraduate,Yes,No,Yes,Yes,Yes,>120k,1k-10k,1,1,1,1,0,1,1,0
